"horizon_weeks","model","median_mae","median_rmse","median_mase","settings_evaluated"
1,"climate_informed",439.992142807902,616.681690498832,0.94830526075052,6
1,"epidemiology_only",357.613831036192,442.221230996933,0.98976893915776,7
2,"climate_informed",607.699218926437,835.791449306045,1.37605781478628,6
2,"epidemiology_only",645.579730265837,876.362232823134,1.46568392538707,6
4,"climate_informed",956.080072125655,1276.81621188076,2.07519604022214,6
4,"epidemiology_only",1053.78706686726,1593.43461994359,2.31774503469546,6
