setting,test_year,horizon_weeks,model,n_predictions,mae,rmse,mase,mase_below_1,mase_equal_or_above_1
Brazil,2023,1,moving_average_4,52,17234.75480769231,23549.87141202339,2.135870791095011,False,True
Brazil,2023,1,negative_binomial_climate,52,7407.804884836568,11518.130178732295,0.9180353452195072,True,False
Brazil,2023,1,negative_binomial_epidemiology,52,7557.01615655717,12140.045888207802,0.936526817858731,True,False
Brazil,2023,1,persistence,52,9162.884615384615,12875.723090971807,1.1355390796415,False,True
Brazil,2023,1,seasonal_naive,52,15458.28846153846,23159.862400365124,1.9157166535716976,False,True
Brazil,2023,1,xgboost_climate,52,9211.131884615386,14238.060605417257,1.1415182730939135,False,True
Brazil,2023,1,xgboost_epidemiology,52,9240.545596153845,14960.241975489767,1.145163459116789,False,True
Brazil,2023,2,moving_average_4,52,23181.75480769231,31546.433473421825,2.872871330781993,False,True
Brazil,2023,2,negative_binomial_climate,52,10162.155496283647,14421.068462602389,1.2593768429702494,False,True
Brazil,2023,2,negative_binomial_epidemiology,52,10772.297006694904,16035.962628107944,1.3349905343202624,False,True
Brazil,2023,2,persistence,52,14482.442307692309,20792.705295829852,1.794781872667699,False,True
Brazil,2023,2,seasonal_naive,52,15458.28846153846,23159.862400365124,1.9157166535716976,False,True
Brazil,2023,2,xgboost_climate,52,12767.102249999998,18119.909315705223,1.5822030012592694,False,True
Brazil,2023,2,xgboost_epidemiology,52,12800.658971153847,19625.66505206924,1.5863616226819215,False,True
Brazil,2023,4,moving_average_4,52,33910.0,46464.1685599899,4.202402606488237,False,True
Brazil,2023,4,negative_binomial_climate,52,12462.783013100418,17665.878099501664,1.5444892898363467,False,True
Brazil,2023,4,negative_binomial_epidemiology,52,14266.442495664842,21536.276790570148,1.7680134216778671,False,True
Brazil,2023,4,persistence,52,26300.17307692308,36402.88983219073,3.2593310495297345,False,True
Brazil,2023,4,seasonal_naive,52,15458.28846153846,23159.862400365124,1.9157166535716976,False,True
Brazil,2023,4,xgboost_climate,52,15813.62328846154,21152.2079783826,1.95975263124311,False,True
Brazil,2023,4,xgboost_epidemiology,52,15424.391134615384,21132.903983464395,1.9115158215158288,False,True
Colombia,2023,1,moving_average_4,52,326.2067307692308,396.3988633866535,2.4039914461556036,False,True
Colombia,2023,1,negative_binomial_climate,52,336.75432947858377,422.60223096873705,2.481722328700466,False,True
Colombia,2023,1,negative_binomial_epidemiology,52,357.6138310361917,442.2212309969334,2.635447125234581,False,True
Colombia,2023,1,persistence,52,282.7692307692308,381.37645443839347,2.083877332641936,False,True
Colombia,2023,1,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193,False,True
Colombia,2023,1,xgboost_climate,52,596.0175365384614,784.5628579146975,4.392371231024109,False,True
Colombia,2023,1,xgboost_epidemiology,52,576.9084192307693,815.2925058433457,4.251545949942542,False,True
Colombia,2023,2,moving_average_4,52,356.7980769230769,446.519475305303,2.6294353979306417,False,True
Colombia,2023,2,negative_binomial_climate,52,386.74424221752025,490.331052543881,2.8501246677174503,False,True
Colombia,2023,2,negative_binomial_epidemiology,52,404.97309425682937,505.4570971463389,2.984462804372075,False,True
Colombia,2023,2,persistence,52,364.28846153846155,447.62675471698685,2.684636038645007,False,True
Colombia,2023,2,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193,False,True
Colombia,2023,2,xgboost_climate,52,674.7978423076922,863.1962013192139,4.972945337352812,False,True
Colombia,2023,2,xgboost_epidemiology,52,672.5173365384616,882.7312820106661,4.956139073578882,False,True
Colombia,2023,4,moving_average_4,52,422.6442307692308,530.7650637378231,3.114690837740625,False,True
Colombia,2023,4,negative_binomial_climate,52,465.5625879767526,582.1983663652885,3.430979111028654,False,True
Colombia,2023,4,negative_binomial_epidemiology,52,515.7708146673743,639.5516855088196,3.800990322036693,False,True
Colombia,2023,4,persistence,52,427.5192307692308,545.2465038860863,3.1506173137896405,False,True
Colombia,2023,4,seasonal_naive,52,1197.826923076923,1333.66834332978,8.827425694931193,False,True
Colombia,2023,4,xgboost_climate,52,763.0957865384614,948.8013546954994,5.623659999626469,False,True
Colombia,2023,4,xgboost_epidemiology,52,795.4280403846153,982.5467268829668,5.861933629044838,False,True
Peru,2023,1,moving_average_4,52,1637.7836538461538,2572.1820856017143,7.959629584741287,False,True
Peru,2023,1,negative_binomial_climate,52,2098.426081316768,3516.765290126674,10.19835207111589,False,True
Peru,2023,1,negative_binomial_epidemiology,52,1985.566306651005,3658.934139403631,9.649853495466273,False,True
Peru,2023,1,persistence,52,781.7115384615385,1317.4516995963197,3.799118567131925,False,True
Peru,2023,1,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357,False,True
Peru,2023,1,xgboost_climate,52,2833.4477057692316,5121.1390601465255,13.770557626884612,False,True
Peru,2023,1,xgboost_epidemiology,52,2867.708553076923,5123.410707589391,13.937065366284862,False,True
Peru,2023,2,moving_average_4,52,2207.2259615384614,3411.2747685982436,10.727119557221382,False,True
Peru,2023,2,negative_binomial_climate,52,2621.555209917557,4425.775062782902,12.740759964168356,False,True
Peru,2023,2,negative_binomial_epidemiology,52,2481.546166596454,4506.49935816274,12.060315925828563,False,True
Peru,2023,2,persistence,52,1405.7692307692307,2280.426031384352,6.8320393430919255,False,True
Peru,2023,2,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357,False,True
Peru,2023,2,xgboost_climate,52,3456.918173076923,5719.537171741827,16.80062448897636,False,True
Peru,2023,2,xgboost_epidemiology,52,3445.5503942307696,5785.400325618567,16.74537707665536,False,True
Peru,2023,4,moving_average_4,52,3216.4471153846152,4796.398127887417,15.6319349977931,False,True
Peru,2023,4,negative_binomial_climate,52,3182.676433655583,5240.3496103064435,15.467809463412516,False,True
Peru,2023,4,negative_binomial_epidemiology,52,2971.0229719538247,5271.989788510724,14.43917350681475,False,True
Peru,2023,4,persistence,52,2574.0576923076924,3975.291636616595,12.50992199879887,False,True
Peru,2023,4,seasonal_naive,52,3872.6153846153848,6074.53044402484,18.8209131977357,False,True
Peru,2023,4,xgboost_climate,52,3695.352368076923,5905.479511351764,17.959414826197694,False,True
Peru,2023,4,xgboost_epidemiology,52,3945.5567469230778,6144.358397474716,19.175408264292383,False,True
Philippines,2023,1,moving_average_4,36,630.5625,847.890121410853,1.135896138684509,False,True
Philippines,2023,1,negative_binomial_climate,36,543.2299561372198,810.7611500289263,0.9785751762815316,True,False
Philippines,2023,1,negative_binomial_epidemiology,36,585.5749337865282,822.7415631118303,1.0548554761796878,False,True
Philippines,2023,1,persistence,36,380.44444444444446,641.9091749530371,0.6853331357770526,True,False
Philippines,2023,1,seasonal_naive,36,3744.3333333333335,4822.264008395503,6.745047121072107,False,True
Philippines,2023,1,xgboost_climate,36,494.1507997222222,737.7250491858301,0.8901639176645207,True,False
Philippines,2023,1,xgboost_epidemiology,36,480.6913236111111,720.8065581450983,0.8659179992292705,True,False
Philippines,2023,2,moving_average_4,35,824.8857142857142,1062.1410872787635,1.4859502392120625,False,True
Philippines,2023,2,negative_binomial_climate,35,828.6541956353545,1181.2518460682093,1.4927387866023063,False,True
Philippines,2023,2,negative_binomial_epidemiology,35,886.186366274844,1247.2673684999274,1.5963773164538826,False,True
Philippines,2023,2,persistence,35,599.0285714285715,917.7251689445408,1.079090877188878,False,True
Philippines,2023,2,seasonal_naive,35,3823.3714285714286,4887.873630585332,6.887426452526055,False,True
Philippines,2023,2,xgboost_climate,35,756.8496265714285,1068.5107470063192,1.3633899389629074,False,True
Philippines,2023,2,xgboost_epidemiology,35,711.9092708571427,1020.9549796456936,1.2824343215150484,False,True
Philippines,2023,4,moving_average_4,35,1152.7285714285715,1411.2195080851172,2.076526804618138,False,True
Philippines,2023,4,negative_binomial_climate,35,1446.5975562745575,1971.434057396232,2.6059027906079364,False,True
Philippines,2023,4,negative_binomial_epidemiology,35,1591.803319067147,2547.317554378358,2.8674766477130462,False,True
Philippines,2023,4,persistence,35,885.4285714285714,1226.387144653526,1.595012223794874,False,True
Philippines,2023,4,seasonal_naive,35,3786.8,4879.061203609915,6.821546631730398,False,True
Philippines,2023,4,xgboost_climate,35,989.401814285714,1463.7755466667886,1.782309763829264,False,True
Philippines,2023,4,xgboost_epidemiology,35,951.639017142857,1434.1366625911862,1.7142838100808289,False,True
Singapore,2025,1,moving_average_4,52,12.350961538461538,15.653819575672014,0.3411746739892073,True,False
Singapore,2025,1,negative_binomial_climate,52,13.37768209963336,18.154266345562235,0.369536113837027,True,False
Singapore,2025,1,negative_binomial_epidemiology,52,13.47920112823864,18.419134977145543,0.3723404073635067,True,False
Singapore,2025,1,persistence,52,13.326923076923077,18.456289317861685,0.3681339806532046,True,False
Singapore,2025,1,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143,False,True
Singapore,2025,1,xgboost_climate,52,12.737780192307694,18.218101833546378,0.3518598929260436,True,False
Singapore,2025,1,xgboost_epidemiology,52,12.367191903846154,17.207757085767966,0.3416230107119457,True,False
Singapore,2025,2,moving_average_4,52,13.33173076923077,16.37815589083873,0.3682667851195297,True,False
Singapore,2025,2,negative_binomial_climate,52,15.901713406460782,21.783066677210975,0.4392582610207728,True,False
Singapore,2025,2,negative_binomial_epidemiology,52,15.74739965712332,21.59049299244406,0.434995601554276,True,False
Singapore,2025,2,persistence,52,14.365384615384617,19.331620171665342,0.3968197453794284,True,False
Singapore,2025,2,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143,False,True
Singapore,2025,2,xgboost_climate,52,16.816207634615385,21.414017287052,0.4645196359496856,True,False
Singapore,2025,2,xgboost_epidemiology,52,16.657633230769232,20.82602633137531,0.4601392830219586,True,False
Singapore,2025,4,moving_average_4,52,16.528846153846153,20.830762661912384,0.4565817552257278,True,False
Singapore,2025,4,negative_binomial_climate,52,22.626276478448386,28.30464648422503,0.6250130791101026,True,False
Singapore,2025,4,negative_binomial_epidemiology,52,21.333019854484345,27.569535454368868,0.5892890259105755,True,False
Singapore,2025,4,persistence,52,17.346153846153847,21.641306657550828,0.4791585145009965,True,False
Singapore,2025,4,seasonal_naive,52,185.6346153846154,208.68733513597283,5.127846053745143,False,True
Singapore,2025,4,xgboost_climate,52,22.252746634615384,28.007239581564235,0.6146949413442201,True,False
Singapore,2025,4,xgboost_epidemiology,52,26.50262213461539,31.535801526731323,0.7320906504711575,True,False
Sri Lanka,2024,1,moving_average_4,42,134.0,193.25223309250035,0.6405560815647876,True,False
Sri Lanka,2024,1,negative_binomial_climate,42,88.93179764549167,115.78904020206684,0.4251179390023041,True,False
Sri Lanka,2024,1,negative_binomial_epidemiology,42,85.22040811105784,106.08092311552714,0.4073764976788899,True,False
Sri Lanka,2024,1,persistence,42,77.52380952380952,107.87492757819122,0.3705846840040775,True,False
Sri Lanka,2024,1,seasonal_naive,42,680.1666666666666,943.1800439142546,3.2513798120222615,False,True
Sri Lanka,2024,1,xgboost_climate,42,94.14334404761904,125.1664619900004,0.4500305340936458,True,False
Sri Lanka,2024,1,xgboost_epidemiology,42,78.47065809523808,96.90024403080726,0.3751108751290737,True,False
Sri Lanka,2024,2,moving_average_4,42,164.54761904761904,235.93423089819711,0.7865819260295392,True,False
Sri Lanka,2024,2,negative_binomial_climate,42,158.42020404525047,275.67096898052097,0.7572912324173117,True,False
Sri Lanka,2024,2,negative_binomial_epidemiology,42,136.54784952386993,195.8754861817243,0.6527354883366296,True,False
Sri Lanka,2024,2,persistence,42,129.02380952380952,215.51427971692448,0.616768551172634,True,False
Sri Lanka,2024,2,seasonal_naive,42,711.8333333333334,967.8370706054276,3.402755005426876,False,True
Sri Lanka,2024,2,xgboost_climate,42,124.13707904761904,224.06500786815585,0.5934086636689638,True,False
Sri Lanka,2024,2,xgboost_epidemiology,42,83.09028476190477,107.1672267951662,0.3971939345014037,True,False
Sri Lanka,2024,4,moving_average_4,42,266.6547619047619,386.9643340584935,1.2746815628082515,False,True
Sri Lanka,2024,4,negative_binomial_climate,42,296.27547642866784,408.3586572498196,1.416276554066329,False,True
Sri Lanka,2024,4,negative_binomial_epidemiology,42,203.3147660593166,253.5570625132727,0.9718993273971442,True,False
Sri Lanka,2024,4,persistence,42,180.28571428571428,259.43253091167674,0.8618142589922836,True,False
Sri Lanka,2024,4,seasonal_naive,42,766.0952380952381,1004.507176015516,3.662141521042752,False,True
Sri Lanka,2024,4,xgboost_climate,42,139.93724333333336,180.3819590328997,0.6689377033923748,True,False
Sri Lanka,2024,4,xgboost_epidemiology,42,173.20950761904763,275.0151291022451,0.8279880857479357,True,False
