setting,horizon_weeks,model_family,model_standard,mae,rmse,mase,persistence_mase,delta_mase_vs_persistence,beats_persistence
Brazil,1,baseline,persistence,8840.450980392157,12497.107349224429,1.095580484887393,1.095580484887393,0.0,False
Brazil,1,baseline,seasonal_naive,15668.098039215687,23376.325047481056,1.941717960445687,1.095580484887393,0.846137475558294,False
Brazil,1,baseline,moving_average_4,17219.16176470588,23645.226755051302,2.1339383745662808,1.095580484887393,1.0383578896788879,False
Brazil,2,baseline,persistence,14112.3,20650.897749492637,1.7489108317176036,1.7489108317176036,0.0,False
Brazil,2,baseline,seasonal_naive,15855.68,23592.172298455265,1.964964640508505,1.7489108317176036,0.2160538087909014,False
Brazil,2,baseline,moving_average_4,23410.925,31976.7358688899,2.901271962261888,1.7489108317176036,1.1523611305442842,False
Brazil,4,baseline,persistence,26478.625,37116.035419905325,3.2814462611685222,3.2814462611685222,0.0,False
Brazil,4,baseline,seasonal_naive,15905.458333333334,23882.935709065023,1.9711335758593351,3.2814462611685222,-1.310312685309187,True
Brazil,4,baseline,moving_average_4,35016.25,47942.03043941345,4.339498091107158,3.2814462611685222,1.058051829938636,False
Colombia,1,baseline,persistence,276.19607843137254,375.24820544044513,2.0354362659685825,2.0354362659685825,0.0,False
Colombia,1,baseline,seasonal_naive,1213.549019607843,1345.537934557526,8.943290212768817,2.0354362659685825,6.907853946800234,False
Colombia,1,baseline,moving_average_4,321.69117647058823,392.6075427166921,2.3707139172616114,2.0354362659685825,0.3352776512930289,False
Colombia,2,baseline,persistence,360.74,444.67491496597825,2.6584855322916963,2.6584855322916963,0.0,False
Colombia,2,baseline,seasonal_naive,1216.8,1350.7737634407918,8.967248421834384,2.6584855322916963,6.308762889542688,False
Colombia,2,baseline,moving_average_4,344.125,434.62066362518937,2.536040732383101,2.6584855322916963,-0.12244479990859514,True
Colombia,4,baseline,persistence,400.6041666666667,523.1711200298936,2.9522658459253335,2.9522658459253335,0.0,False
Colombia,4,baseline,seasonal_naive,1224.6666666666667,1362.5582556353324,9.02522208574938,2.9522658459253335,6.072956239824046,False
Colombia,4,baseline,moving_average_4,407.2447916666667,523.6170761614986,3.001204154645948,2.9522658459253335,0.048938308720614554,False
Peru,1,baseline,persistence,779.8039215686274,1324.5988367922466,3.789847547836116,3.789847547836116,0.0,False
Peru,1,baseline,seasonal_naive,3938.235294117647,6133.353319447403,19.139825999066733,3.789847547836116,15.349978451230617,False
Peru,1,baseline,moving_average_4,1661.3774509803925,2596.56441637452,8.074295453609281,3.789847547836116,4.284447905773165,False
Peru,2,baseline,persistence,1437.12,2322.0373037485856,6.984404101213432,6.984404101213432,0.0,False
Peru,2,baseline,seasonal_naive,4007.36,6194.00814658812,19.475772113002854,6.984404101213432,12.491368011789422,False
Peru,2,baseline,moving_average_4,2284.61,3478.379801358673,11.103206032671748,6.984404101213432,4.118801931458316,False
Peru,4,baseline,persistence,2745.7083333333335,4133.476306331028,13.34414422182506,13.34414422182506,0.0,False
Peru,4,baseline,seasonal_naive,4139.333333333333,6319.3950857657255,20.117162595762917,13.34414422182506,6.773018373937857,False
Peru,4,baseline,moving_average_4,3461.71875,4991.061178497014,16.823955295832942,13.34414422182506,3.4798110740078823,False
Singapore,1,baseline,persistence,13.07843137254902,18.27727615180697,0.361269812550597,0.361269812550597,0.0,False
Singapore,1,baseline,seasonal_naive,185.19607843137257,208.70078966751217,5.115732203208978,0.361269812550597,4.754462390658381,False
Singapore,1,baseline,moving_average_4,12.57843137254902,15.80619449183533,0.3474581480527856,0.361269812550597,-0.013811664497811404,True
Singapore,2,baseline,persistence,13.88,18.540765895722863,0.3834118064592453,0.3834118064592453,0.0,False
Singapore,2,baseline,seasonal_naive,183.38,207.13189035008588,5.06556607121732,0.3834118064592453,4.682154264758075,False
Singapore,2,baseline,moving_average_4,13.34,16.433274171631165,0.3684952088016089,0.3834118064592453,-0.014916597657636366,True
Singapore,4,baseline,persistence,17.020833333333332,21.188145270410057,0.4701720789463307,0.4701720789463307,0.0,False
Singapore,4,baseline,seasonal_naive,178.0625,201.646193864402,4.918679019283095,0.4701720789463307,4.448506940336764,False
Singapore,4,baseline,moving_average_4,16.921875,21.344794691368353,0.4674385203478055,0.4701720789463307,-0.0027335585985251987,True
Sri Lanka,1,baseline,persistence,110.58823529411764,175.15113921589963,0.5286415422922742,0.5286415422922742,0.0,False
Sri Lanka,1,baseline,seasonal_naive,721.18,958.1244699933302,3.4474345888275635,0.5286415422922742,2.9187930465352894,False
