horizon_weeks,model,median_mae,median_rmse,median_mase,settings_evaluated
1,moving_average_4,443.5301946529081,595.8188377503886,1.5730966643343327,8
1,persistence,307.7735042735043,480.22858134391396,0.8675027088704393,8
1,seasonal_naive,2156.4134615384614,2828.542214188466,7.219395449905677,8
2,moving_average_4,545.7771634615385,720.6691134281539,1.9765131492571713,8
2,persistence,446.98144007155634,641.0778771553221,1.3744690426698476,8
2,seasonal_naive,2156.4134615384614,2828.542214188466,7.219395449905677,8
4,moving_average_4,734.5377403846154,941.7323187552644,3.014218871776249,8
4,persistence,599.1433363148479,831.2733015331034,2.3074546713725006,8
4,seasonal_naive,2156.4134615384614,2828.542214188466,7.219395449905677,8
