family,horizon_weeks,settings_evaluated,median_delta_mae,median_delta_rmse,median_delta_mase,settings_climate_improves_mae,settings_climate_improves_rmse,settings_climate_improves_mase,fraction_climate_improves_mae,fraction_climate_improves_rmse,fraction_climate_improves_mase
negative_binomial,1,6,-10.480510293106605,-15.79970655555016,-0.01064788308285175,4,5,4,0.6666666666666666,0.8333333333333334,0.6666666666666666
xgboost,1,6,6.915032199786314,-0.6306513475434379,0.017241400324674083,2,3,2,0.3333333333333333,0.5,0.3333333333333333
negative_binomial,2,6,-9.037269144985828,-40.570783517088046,-0.03567551594175808,3,4,3,0.5,0.6666666666666666,0.5
xgboost,2,6,6.824142307691943,-9.473544867887759,0.03602683804746576,1,3,1,0.16666666666666666,0.5,0.16666666666666666
negative_binomial,4,6,-24.457485033328858,-44.4967486739057,-0.09390003932099666,3,4,3,0.5,0.6666666666666666,0.5
xgboost,4,6,-18.291064673076946,-18.636967066317247,-0.13822304574124916,4,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666
