setting,test_year,horizon_weeks,n_predictions_epidemiology,mae_epidemiology,rmse_epidemiology,mase_epidemiology,n_predictions_climate,mae_climate,rmse_climate,mase_climate,family,epidemiology_model,climate_model,delta_mae,delta_rmse,delta_mase,climate_improves_mae,climate_improves_rmse,climate_improves_mase
Brazil,2023,2,52,12800.658971153847,19625.66505206924,1.5863616226819215,52,12767.102249999998,18119.909315705223,1.5822030012592694,xgboost,xgboost_epidemiology,xgboost_climate,-33.55672115384914,-1505.7557363640153,-0.004158621422652109,True,True,True
Colombia,2023,2,52,672.5173365384616,882.7312820106661,4.956139073578882,52,674.7978423076922,863.1962013192139,4.972945337352812,xgboost,xgboost_epidemiology,xgboost_climate,2.280505769230672,-19.535080691452208,0.016806263773929686,False,True,False
Peru,2023,2,52,3445.5503942307696,5785.400325618567,16.74537707665536,52,3456.918173076923,5719.537171741827,16.80062448897636,xgboost,xgboost_epidemiology,xgboost_climate,11.367778846153215,-65.8631538767404,0.05524741232100183,False,True,False
Philippines,2023,2,35,711.9092708571427,1020.9549796456936,1.2824343215150484,35,756.8496265714285,1068.5107470063192,1.3633899389629074,xgboost,xgboost_epidemiology,xgboost_climate,44.94035571428583,47.55576736062562,0.08095561744785895,False,False,False
Singapore,2025,2,52,16.657633230769232,20.82602633137531,0.4601392830219586,52,16.816207634615385,21.414017287052,0.4645196359496856,xgboost,xgboost_epidemiology,xgboost_climate,0.15857440384615273,0.5879909556766911,0.004380352927726983,False,False,False
Sri Lanka,2024,2,42,83.09028476190477,107.1672267951662,0.3971939345014037,42,124.13707904761904,224.06500786815585,0.5934086636689638,xgboost,xgboost_epidemiology,xgboost_climate,41.04679428571427,116.89778107298964,0.1962147291675601,False,False,False
Brazil,2023,4,52,15424.391134615384,21132.903983464395,1.9115158215158288,52,15813.62328846154,21152.2079783826,1.95975263124311,xgboost,xgboost_epidemiology,xgboost_climate,389.2321538461565,19.303994918205717,0.04823680972728117,False,False,False
Colombia,2023,4,52,795.4280403846153,982.5467268829668,5.861933629044838,52,763.0957865384614,948.8013546954994,5.623659999626469,xgboost,xgboost_epidemiology,xgboost_climate,-32.33225384615389,-33.74537218746741,-0.23827362941836938,True,True,True
Peru,2023,4,52,3945.5567469230778,6144.358397474716,19.175408264292383,52,3695.352368076923,5905.479511351764,17.959414826197694,xgboost,xgboost_epidemiology,xgboost_climate,-250.20437884615467,-238.87888612295228,-1.2159934380946886,True,True,True
Philippines,2023,4,35,951.639017142857,1434.1366625911862,1.7142838100808289,35,989.401814285714,1463.7755466667886,1.782309763829264,xgboost,xgboost_epidemiology,xgboost_climate,37.762797142856925,29.63888407560239,0.06802595374843512,False,False,False
Singapore,2025,4,52,26.50262213461539,31.535801526731323,0.7320906504711575,52,22.252746634615384,28.007239581564235,0.6146949413442201,xgboost,xgboost_epidemiology,xgboost_climate,-4.249875500000005,-3.5285619451670875,-0.11739570912693742,True,True,True
Sri Lanka,2024,4,42,173.20950761904763,275.0151291022451,0.8279880857479357,42,139.93724333333336,180.3819590328997,0.6689377033923748,xgboost,xgboost_epidemiology,xgboost_climate,-33.27226428571427,-94.63317006934543,-0.1590503823555609,True,True,True
