horizon_weeks,model,median_mae,median_rmse,median_mase,settings_evaluated
1,xgboost_climate,557.6974611967996,778.2494831868657,0.9690612534440926,8
1,xgboost_epidemiology,541.2735236672794,777.2310395779914,0.9721022414781727,8
2,xgboost_climate,732.2038380650112,985.0664916232477,1.375848218253322,8
2,xgboost_epidemiology,679.3826511928014,947.52478123006,1.3210939439449072,8
4,xgboost_climate,900.9463203892562,1273.2797924341066,1.7851675483702816,8
4,xgboost_epidemiology,862.6302682125207,1205.3217023369402,1.6303826143594535,8
